GAME,TEAM,PLAYER,MIN,PTS,REB,AST,STL,BLK,TO,FO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,+/-,EFF
FRA1,France,Victor Wembanyama,20,24,6,4,1,3,3,2,10,14,71.0,8,10,80.0,2,4,50.0,2,2,100.0,0,6,44,31
FRA1,France,Guerschon Yabusele,15,14,3,2,1,1,0,0,5,8,62.0,3,4,75.0,2,4,50.0,2,2,100.0,0,3,20,18
FRA1,France,Rudy Gobert,10,10,5,2,0,1,0,2,3,3,100.0,3,3,100.0,0,0,0.0,4,6,67.0,3,2,9,16
FRA1,France,Theo Maledon,13,8,4,4,1,0,1,2,3,3,100.0,2,2,100.0,1,1,100.0,1,2,50.0,1,3,9,15
FRA1,France,Frank Ntilikina,12,8,0,2,1,0,1,1,3,3,100.0,1,1,100.0,2,2,100.0,0,0,0.0,0,0,14,10
FRA1,France,Nadir Hifi,15,8,2,4,0,0,2,1,3,9,33.0,2,5,40.0,1,4,25.0,1,1,100.0,1,1,3,6
FRA1,France,Jaylen Hoard,10,6,2,1,2,0,2,2,3,3,100.0,3,3,100.0,0,0,0.0,0,0,0.0,1,1,2,9
FRA1,France,Bilal Coulibaly,15,6,2,1,0,1,1,3,2,4,50.0,1,2,50.0,1,2,50.0,1,1,100.0,0,2,20,7
FRA1,France,Nando De Colo,10,5,2,4,0,0,0,1,2,4,50.0,1,2,50.0,1,2,50.0,0,0,0.0,1,1,15,9
FRA1,France,Isaia Cordinier,10,3,2,0,1,0,1,1,1,2,50.0,1,2,50.0,0,0,0.0,1,2,50.0,0,2,16,3
FRA1,France,Elie Okobo,10,2,2,3,3,0,1,2,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,2,28,9
FRA1,France,Mathias Lessort,15,2,2,0,1,0,0,1,1,7,14.000000000000002,1,7,14.000000000000002,0,0,0.0,0,0,0.0,2,0,8,-1
FRA1,France,Nicolas Batum,9,0,2,3,0,0,1,2,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,2,17,3
FRA1,France,Andrew Albicy,10,0,1,1,0,0,0,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,14,2
FRA1,France,Matthew Strazel,10,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,16,1
FRA1,France,Evan Fournier,15,0,2,1,0,0,1,2,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,2,15,0
FRA1,Turkey,Sertac Sanli,19,11,3,1,0,0,2,2,4,8,50.0,3,5,60.0,1,3,33.0,2,2,100.0,1,2,-14,9
FRA1,Turkey,Can Korkmaz,23,8,1,0,2,0,1,1,2,6,33.0,0,0,0.0,2,6,33.0,2,2,100.0,0,1,-27,6
FRA1,Turkey,Tarik Biberovic,29,6,3,0,0,0,2,2,1,9,11.0,1,5,20.0,0,4,0.0,4,4,100.0,1,2,-42,-1
FRA1,Turkey,Kenan Sipahi,21,5,0,4,2,0,4,3,2,4,50.0,1,2,50.0,1,2,50.0,0,0,0.0,0,0,-28,5
FRA1,Turkey,Goktug Bas,14,4,3,0,0,0,0,2,1,2,50.0,1,1,100.0,0,1,0.0,2,3,67.0,0,3,-14,5
FRA1,Turkey,Okben Ulubay,18,3,1,1,2,0,1,1,1,3,33.0,1,1,100.0,0,2,0.0,1,2,50.0,0,1,-25,3
