DATE,TEAM,T SCORE,OPPONENT,O SCORE,TYPE,ID
02/07/2024,Brazil,81,Montenegro,72,Qualifying,BRA1
04/07/2024,Cameroon,77,Brazil,74,Qualifying,CAM1
06/07/2024,Brazil,71,Philippines,60,Qualifying,BRA2
07/07/2024,Latvia,69,Brazil,94,Qualifying,LAT1
22/06/2024,Japan,89,Australia,90,Preparation,JAP1
23/06/2024,Australia,95,Japan,95,Preparation,AUS1
05/07/2024,Japan,84,South Korea,84,Preparation,JAP2
07/07/2024,Japan,88,South Korea,80,Preparation,JAP3
19/07/2024,Germany,104,Japan,83,Preparation,GER1
03/07/2024,France,96,Turkey,46,Preparation,FRA1
06/07/2024,Germany,66,France,90,Preparation,GER2
08/07/2024,France,65,Germany,70,Preparation,FRA2
12/07/2024,France,67,Serbia,89,Preparation,FRA3
19/07/2024,France,73,Canada,85,Preparation,FRA4
21/07/2024,France,82,Australia,83,Preparation,FRA5
13/07/2024,Germany,95,Netherlands,50,Preparation,GER3
22/07/2024,USA,92,Germany,88,Preparation,USA1
